Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
The ultimate form of intrinsic motivation is when a habit becomes part of your identity. It’s one thing to say I’m the type of person who wants this. It’s something very different to say I’m the type of person who is this.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,497,2020-05-06 04:56:00+00:00,
"We do not change by snapping our fingers and deciding to be someone entirely new. We change bit by bit, day by day, habit by habit.6 We are continually undergoing microevolutions of the self.",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,562,2020-05-06 04:56:00+00:00,
It is a simple two-step process: Decide the type of person you want to be. Prove it to yourself with small wins.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,583,2020-05-06 04:56:00+00:00,
"As the psychologist Carl Jung said, “Until you make the unconscious conscious, it will direct your life and you will call it fate.”9",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,845,2020-05-06 04:56:00+00:00,
Every habit is context dependent.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,1125,2020-05-06 04:56:00+00:00,
These are the supernormal stimuli of our modern world.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,1401,2020-05-06 04:56:00+00:00,
"The normal behavior of the tribe often overpowers the desired behavior of the individual. For example, one study found that when a chimpanzee learns an effective way to crack nuts open as a member of one group and then switches to a new group that uses a less effective strategy, it will avoid using the superior nut cracking method just to blend in with the rest of the chimps.9 Humans are similar. There is tremendous internal pressure to comply with the norms of the group. The reward of being accepted is often greater than the reward of winning an argument, looking smart, or finding truth. Most days, we’d rather be wrong with the crowd than be right by ourselves.",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,1629,2020-05-06 04:56:00+00:00,
Running against the grain of your culture requires extra effort.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,1637,2020-05-06 04:56:00+00:00,
"When changing your habits means challenging the tribe, change is unattractive. When changing your habits means fitting in with the tribe, change is very attractive.",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,1637,2020-05-06 04:56:00+00:00,
"“When a measure becomes a target, it ceases to be a good measure.”",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,2629,2020-05-06 04:56:00+00:00,
Knowing that someone is watching can be a powerful motivator.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,2727,2020-05-06 04:56:00+00:00,
"Finally, reflection and review offers an ideal time to revisit one of the most important aspects of behavior change: identity.",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,3183,2020-05-06 04:56:00+00:00,
One solution is to avoid making any single aspect of your identity an overwhelming portion of who you are.,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,3192,2020-05-06 04:56:00+00:00,
"The more you let a single belief define you, the less capable you are of adapting when life challenges you.",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,3194,2020-05-06 04:56:00+00:00,
"When you cling too tightly to one identity, you become brittle. Lose that one thing and you lose yourself.",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,3197,2020-05-06 04:56:00+00:00,
